Orig_Ticker,Date,y-value,y-predict,y-predict-original,y-predict-binary,Score,Threshold,Target,Target-Val,Next-Day-Open,Final-Price
AAPL,2025-01-16 00:00:00-05:00,0.0,0.21104878,0.21104878,False,3,0.501278817653656,Next-Day-Close-To-Next-Day-Open-Ratio,0.0136174322432206,232.1150054931641,235.27581585310202
AAPL,2025-01-16 00:00:00-05:00,0.0,0.20670642,0.20670642,False,1,0.4743425250053406,Next-Day-High-To-Next-Day-Open-Ratio,0.0198910201758098,232.1150054931641,236.73200975053683
AMZN,2025-01-16 00:00:00-05:00,0.0,0.82456297,0.82456297,True,1,0.2160822004079818,Next-Day-High-To-Next-Day-Open-Ratio,0.0188753872101057,225.83999633789065,230.1028137162972
BABA,2025-01-16 00:00:00-05:00,1.0,0.5278879,0.5278879,True,1,0.5278299450874329,Next-Day-Close-To-Next-Day-Open-Ratio,0.0137441617606488,82.0199966430664,83.14729274453659
CRM,2025-01-16 00:00:00-05:00,1.0,0.5330033,0.5330033,False,3,0.5489562749862671,Next-Day-Close-To-Next-Day-Open-Ratio,0.0157161675278563,322.94000244140625,328.0153816212217
CRM,2025-01-16 00:00:00-05:00,0.0,0.5458201,0.5458201,False,3,0.5960333943367004,Next-Day-High-To-Next-Day-Open-Ratio,0.0226599742713592,322.94000244140625,330.2578145879212
CSCO,2025-01-16 00:00:00-05:00,0.0,0.54565376,0.54565376,False,1,0.5609880685806274,Next-Day-Close-To-Next-Day-Open-Ratio,0.0103523649528011,60.79499816894531,61.4243701772951
CSCO,2025-01-16 00:00:00-05:00,0.0,0.557135,0.557135,False,3,0.5744773745536804,Next-Day-High-To-Next-Day-Open-Ratio,0.0144149051110295,60.79499816894531,61.67135229877588
DASH,2025-01-16 00:00:00-05:00,0.0,2.0274249e-05,2.0274249e-05,False,3,0.4011983871459961,Next-Day-High-To-Next-Day-Open-Ratio,0.0274151569860385,174.3699951171875,179.15037590697997
DIA,2025-01-16 00:00:00-05:00,0.0,0.56588733,0.56588733,False,2,0.5782015323638916,Next-Day-High-To-Next-Day-Open-Ratio,0.008273061362028,432.0899963378906,435.6647033915125
DIS,2025-01-16 00:00:00-05:00,0.0,0.5147733,0.5147733,False,3,0.5800999999046326,Next-Day-Close-To-Next-Day-Open-Ratio,0.0118915192518805,108.29000091552734,109.57773354620049
DIS,2025-01-16 00:00:00-05:00,0.0,0.5065402,0.5065402,False,3,0.5125632882118225,Next-Day-High-To-Next-Day-Open-Ratio,0.0172000632308278,108.29000091552734,110.15259577854081
F,2025-01-16 00:00:00-05:00,1.0,0.5385533,0.5385533,True,1,0.537758469581604,Next-Day-Close-To-Next-Day-Open-Ratio,0.0147600729050207,9.90999984741211,10.056272167648658
GOOG,2025-01-16 00:00:00-05:00,0.0,0.8055361,0.8055361,True,2,0.2559094130992889,Next-Day-Close-To-Next-Day-Open-Ratio,0.0137477163340392,198.11000061035156,200.833560701679
GOOG,2025-01-16 00:00:00-05:00,0.0,0.45694864,0.45694864,False,2,0.6130478978157043,Next-Day-High-To-Next-Day-Open-Ratio,0.0188037694969596,198.11000061035156,201.83521539687115
INTC,2025-01-16 00:00:00-05:00,0.0,0.78657556,0.78657556,True,1,0.4417917728424072,Next-Day-High-To-Next-Day-Open-Ratio,0.0306835851274047,21.260000228881836,21.912333255713378
IONQ,2025-01-16 00:00:00-05:00,0.0,0.5225997,0.5225997,False,1,0.5230558514595032,Next-Day-Close-To-Next-Day-Open-Ratio,0.0751159115423401,36.86000061035156,39.628773155649334
